Före- tagets nr å kartan,Företagets ägare,Kommun,Kraftstationens namn,Driv- kraft,Ut- byggd fallhöjd,Gene- rator- effekt,Ström- art,Peri ta,nningssystem,Elektrifie- ringens omfattning,,Hu- vud- trans- forma- torns stor- lek,Orts- transforma- torer,,Anslutning,,,,,Årlig energi- förbrukning,Anm.,Före- tagets nr å kartan
,,,,,,,,,,antal invå- nare,odlad jord,,antal,sam- sam lagd eff.,jordbruket,,övriga konsumenter,,Summa,,,
,,,,,,,,,,,,,,,mo- torer,belys- ning,mo- torer,belys- ning,,,,
,,,,,m,kVA,,pr/s,volt,st.,har,kVA,st,kVA,kW,kW,kW,kW,kW,kWh,,
1,2,,4,5,6,,8,9,10,11,12,13,14,15,10,17,18,19,20,21,22,1
1,"Långflons distributions-
område","N. Finn-
skoga",Kraftstationen belägen i Norge,-,"-
:unselected:","-
:unselected:",3-fas,,500/380,(50),25,-,2,15,11,2,,-,13,1),,1
2,Aspbergets elektriska an- delsförening,,Aspbergets kraftstation,vatten,11,3.3,likström,,220,150,40,-,-,-,-,2.5,-,-,2.5,1),,2
3,A .- B. Mölnbacka-Trysil,,Husbäckens,,26-27,25,3-fas,5,00/380,150,,20,2,20,7,10,,-,17,1,,
4,Öråns elektriska andels- förening,,V. Kärrbäckstrands»,,15,12,,5,00/380,50,,10,3,12,4,6,,-,10,,,3
5 6,"Näckåns elektriska A .- B.
D:o",Dalby,Digerfallets Näckåns,,28 31-32,400 100 1,23,5,0/380,3 600,1 165,-,20,168,191,65,,-,256,1),,5 6
7,Andelsföreningen Leta- fors elektriska kraft. station,S. Finn- skoga,Letafors »,,8.5,50,,5,00/380,1 200,122,50,7,82,125,17,-,-,142,1),,7
8,B. Carlsson,,Kindsjöns,,4,2,likström,,,80,40,,,,-,2,-,-,2,,,
9,"A .- B. Femtåns elektrici-
tetsverk",V. By,Femtåns,,16,75,3-fas,,00/380,600,283,70,5,118,108.5,12.5,44,,165,3,,89
10,Väråns elektriska före- ning,,Väråns,,33,150,,5,00/380,1 500,700,150,13,118,136,55,47,,238,1),,10
11,Hornnäs-Stackeruds elektriska förening,Ekshärad,Brattfallets,,37,500,,5,00/380 o. 220,(1 560),700,250,18,236,75,88,68,-,231,1),Anm. 1,11
12,J. Norbäcks stärbhus,,Grundfors,,4.1,50,,5,00/380 IS,225,350,40,5,45,8,15,-,-,23,1) -,,12
,Mindre distribut .- företag,,Göknäs,,1.5,3,likström,,20,100,150,,,-,,2,,,2,,Anm. 2,13
14,Solbergs belysningsföre- ning,,Solbergs,,8,18,,,,150,100,,-,,-,7.5,,,7.5,15,,14
15,"A .- B. Vitsands elektrici-
tetsverk",Vitsand,Vitsands,,4-5,70,3-fas,5,0/380,1 000,(800),,10,88,84,33,3,-,120,1),,15
16,Nils Larsson,Fryksände,Fensbols kvarn och såg,,7,25,,5,,100,100,,-,,26,5,,,31,1),,16
17,Kålleruds elektricitetsverk,,Kålleruds kraftstation,,6,80,,5,00/380,750,1 010,75,12,,,33,-,,188,15,,'17
18,Nils Persson,,Röbjörkeby kvarn,,4.5,90,,5,1/380,1 500,400,-,11,,51,50,-,-,101,1,,18
19,Billeruds A .- B.,,Torsby bruk,,4-5,130,,5,00/380,900,300,,3,,28,75,29,,132,1,,19
20,Velens elektriska förening,,Abonnemang från Torsby bruk,-,,-,-,,00/380,350,(100),"60
/",5,45,9,7,,,16,1),,20
21,Hassla elektriska andels- förening,Östmark,Hassla kraftstation,vatten,4.5,20,likström,,20,225,200,-,-,,22,10,-,-,32,1),,21
22,Viggafors elektriska an- delsförening,,Viggafors,,5.1,22,»,,,275,350,,-,-,22,12,-,-,34,1),,22
23,Billeruds A .- B.,,Konradsfors,,6,15,=,,20,225,(100),-,-,,4,5,,,9,1),,23
24,Larsson,Lekvattnet,Sibila,,7,1,,,,4,3,,,,1,1,-,,2,1,,24
25,Turisthotellet Lekvattnet!,,Turisthotellets,olja,-,10,,,,-,-,,,,-,,,=,5,,,25
