1,2,3,,5,6,7,8,9,10,11,12,Co,14,15,16,17,18,19,20,21,22,1
62,Vedevåg-Koppoms A .- B.,Järnskog,Koppoms bruk,vatten,11,15,likström,,10,100,80,,-,,-,-,11,5,16,,,62
63,D:o,Östervall- skog,Bottners kraftstation,,3.5,8,,,20,60,(50),,,,,2.5,-,,2.5,,,63
64,D:o,,Hagets,,5,3.5,2,,20,20,(20,,,,-,0.8,,,0'8,1),,64
65,D:o,,N. Ivarsbyns,,5,1.2,,,20,35,50),,,,-,1.5,,,1.5,,,65
66,D:o,,S.,,12 0,,,,-20,30,(50,,,,,,,,1.2,1),,66
67,Östervallskogs elektriska kraft A .- B.,,Böns,,00,000,3-fas,50,80,300,.180,,,-,,10,,,10,,,67
68,Billeruds A .- B.,Köla,Skällarebyns kvarn,,3-5,11,likström,,120,57,40,,,-,-,2,-,,2,1),,68
69,Köla S. elektr. andelsför. o. Kola elektr. and .- för.,,Växviks kraftstation,2,27,25,3-fas,50,500/380,450,400,,5,25,13,18,,,31,,,69
70,Kroppstadsfors A .- B.,Eda,Nor-borgs,,5.5,41,likström,--,10 o. 220,(100),100,,,-,,21,19,-,40,1),,70
71,Åmotsfors A .- B.,,Åmotsfors,,3.75,10,,,10,,-,-,,-,-,19,,,19,,,71
72,Kroppstadsfors A .- B.,,Kroppstadsfors,,6,14,,,20,,60,,,,,9,-,-,9,,,72
73,Amotsfors A .- B.,,À motsfors,,9-10,40,,,× 220,(200),206,-,,,,32,6,,38,1,,
74 75,Stens andelsförening Billeruds A .- B.,Arvika 1 .- f. Gunnar- skog,Stens Räxede,,6 3'6,20 21,¿- fas 2,"50
45","000/380
000/380",(200),180 -,5,1 -,5 -,7,5.5 -,,-,12.5 -,1,,75
76,Elektriska föreningen Rex,,Abonnemang från Räxeds kraftstation,,,,,45,000/380,550,400,10,2,15,38,15,-,-,53,40 000,,76
77,Gårdsås distributionsföre- ning,,Gårdsås kraftstation,vatten,7,12,likström,,×220,(100),100,-,-,-,-,10 5,-,-,5,1),,77
78,Övre Fjälls kraftstation,Mangskog,Övre Fjälls,,5-6,4,,,20,40,20,-,-,,-,2,,,2,1),,78
79,Fjälls,,Fjälls,,5-6,12,=,,×220,300,122,-,-,,3.7,9,-,,12.7,,,79
80,A. G. Andersson,,Knaggens,,4,12,,,X220,194,20,,,-,3.7,5,,,8.7,1),,80
81,Rottneros bruk,Sunne,Skarpeds,,9,345,3-fas,50,000/380,,,,,,,,,,,,,81
82,D:o,,Rottneros,,25,125,2,50,000/380,5 000,500,(65),,711,52,150,337,11,550,1),,82
83,Såneby & Toresby elek- triska andelsförening,n,Abonnemang från Skarp- ed och Rottneros kraft- stationer,,,1001,,50,000/380,,,,,,,,,,,,,83
84,Sydöstra Sunne-Mårbacka elektriska förening,,D:o,-,-,-,,50,000/380,450,900,1,6,60,31,10,,-,41,65 000,,84
85,(Johan Nilsson),,Gårdsereds kraftstation,vatten,14.5,6,likström,1 0 --,x220,60,(50),-,-,-,5,3,-,-,8,1),,85
86,Ragnar Chöler,Ö. Emtervik,Gårdsjö gårds,,3,18,,-,,030,(30),-,,-,17.7,4,-,-,17.7,-1),,86
87,(Holmgren),,Alkärrsruds »,,4.5,6,,,00,30,(30),,,-,-,2,,,2,,,87
88,Östra Emterviks elektriska förening,,Kvarneds,,42.5,100,3-fas,50),000/380,(2 500),2 500,75,13,96,22,37,11,,70,,,88
89,A .- B. Mölnbacka-Trysil,Ransäter,Ransbergs bruk,,36,10 15,likström,,×110,160,30,,-,-,6,13,-,-,19,1),,89
90,Ranå bruks A .- B.,,Ranå,,8,140,3-fas,5030,,50,42,-,"-
-",-,12.5,3,117.5,-,133,1),,90
91,Lundby snickerifabriks A .- B.,,Jonsbolsbäckens kraftsta- tion,,10-15,23,likström,,0,,-,-,-,-,-,-,-,-,-,,Anm. 4,91
92,Uddeholms A .- B.,Gustaf Adolf,Nains kraftstation,,46,3 830,3-fas,25,:000/190,,,,,,,,,,,,,92
93,D:o,,Knons,,32,3 830,,25,",000/190",,,,,,,,,,,,,93
94,D:o,,Malta,,28,3 830,,5,:000/190,,,,,,,,,,,,,94
95,D:o,N. Råda,Stjärnfors,=,8.5,850,,25,:000/190,,,,,,,,,,,,,95
96a,D:o,,Krakeruds,,11,10 750,,25,:000/190,,,,,,Anslutning,se under,nr,98,,,,96a
96b,D:o,,Forshults,,13.5,18 700,,25,000/12 000/190,,,,,,,,,,,,,96b
97,D:o,Ransäter,Munkfors,,"/10-12
10-12","12 500
430",likström,,000/12 000/190 220,,,,,,,,,,,,,97
