1,2,3,4,5,6,t-,8,9,10,11,12,18,14,16,16,17,18,19,20,21,22,1
161 162,"Ned. Alsters elektriska
andelsförening Östra Fågelviks elektriska
andelsförening","Alster
Ö. Fågelvik",Abonnemang från Deje- fors kraftstation D:o,-,-,-,3-fas =,"50
50","4 000/10 000/380
0 000/380",650 1 200,800 1 405,400,5 10,65 145,103.6 316,50 50,14.7,,152 365,72 000 105 000,,161 162
163,Skattkärrs elektriska an- delsförening,,D:o,,,,,50,0 000/380,700,100,-,1,20,11,14,11,,36,105 000,,163
164,Skattkärrs tegel- o. kakel- fabrik,,D:o,,,-,,50,0 000/380,100,35,,1,200,5.5,,180.2,4.5,191,160 000,,164
165,"G. Lindstedt, Skattkärr",,Skattkärrs sågverk,ånga,-,110,,,BC,-,-,-,-,-,-,-,224,1,225,-,,165
166,Väse elektriska andels- förening,Väse,Abonnemang från Deje- fors kraftstation,-,-,,,50,0 000/380,2 500,3 300,,19,275,319,89.5,29.5,,438,148 000,,166
167,"Olsson, N. Forsnäs",Alster,Forsnäs kraftstation,vatten,5.5,52,likström,,20,90,175,-,,-,9'1,3.6,,,12.7,1),,167
168,"Ing. Nisser, Ulfsby",,Alstrums kvarn,,3-5,35,3-fas,50,000/380 o. 220,200,600,30,3,30,47,12,,,59,1,,168
169,"Fr. Eriksson m. fl., Väse",Ölme,Backa kraftstation,,5.7,50,,50,0 000/380,200,400,50,3,36.5,30,17,,,47,,,169
170,Ölme elektriska andels- förening,,Trefors,,,75,,50,000/380,2 000,4 000,153,20,227,533,63,42 6,0.4,639,57 000 2),,170
171,D:o,,Hults =,,5.4,50,,50,,,,,,,,,,,,,,171
172,"Karl Myrén, Ölme",,Myroms,,6,19,,50,000/380,175,750,20,7,52.5,87,9,,,96,1,,172
173,"Bengtson & Andersson, Väse",,Forsås,,5,9,likström,-,20,20,60,,-,,7.7,1.2,,,00,1),,173
174,Löfstafors elektriska an- delsförening,,Löfstafors,,6,50,3-fas,50,0 000/380,400,1.000,50,7,57.5,60,25,-,,85,1),,174
175,Ölmåns elektriska före- ning,,Ölmåns,,3.6,17,088,000 0 50,0 000/380,(1 000),1 000,20,7,55.,24.7,10,,,34.7,1),,175
176,Stiftelsen Lundsbergs · skola,Lungsund,Kvarneds,,,90,,50,000/190,(50),-,-,1,90,-,-,118,50,168,1),,176
177,Lundsbergs Fastighets A .- B.,=,Lundsbergs kvarn,,2.4,15,,50,,(100),118,,-,-,14.7,2.5,-,-,17.2,1),,177
178,Anders Virén,,Asktjärns gård,,1.7,15,likström,,,26,42,--,-,-,,1'2,-,-,9.8,1),,178
179,"Uddeholms A,-B.",Kroppa,Gammelkroppa kraftsta-) tion,,12,[ 500 1 510,3-fas |likström,50,0 000/380,,,-,,,-,-,,,-,,,179
180,D:o,,Nykroppa kraftstation nr 1,,26,125,3-fas,50,0 000/380,,,,,,,,,,,,,
=,D:o,,Nykroppa kraftstation nr 2,,16,"46
== 50",likström 3-fas,50,0 000/,-,100,-,7,22.5,-,-,-,-,-,-,,180
,D:o,,Nykroppa kraftstation nr 3,,12,85 85,likström,50,0 000/1 500 -,,,,,,,,,,,,,
181,D:o,Storfors,Storfors kraftstation,,12-15,800,3-fas,50,0 000/500 o. 220,-,200,,,,-,,,,,,,18
182,D:o,,Lillfors,,4,400,,50,000/380 (500),,,,,,,,,-,-,,,18
183,D:o,,Skarphyttans,,6,2.9,likström,-,20,,,,,,,,,,,,,183
184,D:o,Fernebo,Asphyttaus kvarn,,2.7,8,,,20,100,80,,-,,,8,,,8,1),,184
185,D:o,Storfors,Bjurbäckens kraftstation,,8,22,,,.0,30,70,,-,,11,4,11,-,26,,,185
186,D:o,Fernebo,Hennickehammars »,,16-17,50,3-fas,50,500/380,(400,390,,,,23'5,19.5,,-,43,,,186
187,Bergsjö elektriska andels- förening,Varnum,Abonnemang från Udde- holms A .- B (kraftstation 182),,---,,,50,000/380,160,229,,1,10,4.4,4.8,-,,9.2,1),,187
188,Filipstads stad,Filipstad st.,Filipstads elektricitets- verk,diesel vatten,6.4-69,"32
250",likstrom,-,×120,-,-,-,-,-,-,,337,234,571,498 000,,188
189,G. Karlsson,Fernebo,Bergkarlshyttans kraftst.,,4,4,,-,,20,40,,-,-,-,,-,,-,1),,189
190,A .- B. Finnshyttan,,Skribo kraftstation,,12,20,3-fas,50,400/190,-,-,,1,,,,29.5,1.5,31,1),,190
,,1,Finnshyttan,,10,25,,50,) 000/190,150,100,90,-,,,2,230.5,10,250,357 000,,191
191,A .- B. Finnshyttan,,Abonnemang från Helle- fors Bruks A .- B.,,-,,=,,,,,,,,,,,,,,,
