,11,12,18,14,15,16,17,18,19,20,21,,23,1
,-,orts-,10 000,17,132,38,340,180,20,30,1918,96,,297
,,gårds-,220,21,,,,,,,,,,
,-,,220,1,,6,,40,1,2,1918,4,,298
,-,gårds-,2×220,3,,4,70,-,2,4,1918,8,,299
,100,bygde- orts- gårds-,10 000 10 000 o. 1 500 3800.110,-,245 10,192,3 000,3 000,200,100,1918,240,,300
,1 600,lands-,30 000,-,-,,-,-,(3 000),(1 200,1907,700,Se anm. 56),301
,700,orts-,30 000 2 000,-,,-,,,(1 500),(600,1911,500,Se anm. 57),302
,23 000,lands-,30 000,138,-,--,-,-,-,-,1907 1921,900,,303
,-,gårds-,220,4,-,23,45,,15,25,1917,30,,304
,-,2,220,1,-,10,50,-,5,10,1911,6,Se anm. 58),305
,-,,110,1,-,3.7,5,,2,3,1904,3,,306
,-,,220,1,-,2.2,30,-,2,3,1910,4,,307
,,,220,2,-,3,65,-,2,4,1918,10,,308
,-,,380,4,-,80,45,70,-,-,1916,82,,309
,290,bygde- orts-,11 000 11 000,43,432,200,750,200,300,200,1907,362,Se anm. 59),310
,250,gårds-,380,61,,,,,,,1918,,,
,80,orts- gårds-,10 000 380,5 5,15,43,160,8,20,30,1916,21,,311
,125,orts-,3 000,12,110,55,220,60,80,80,1917,120,,312
,,gårds-,380,1,-,,,,,,1921,,,
,,,220,1,,1.5,40,-,1,1,1917,6,,318
,-,,220,4,-,28,110,35,-,-,1915,12,,314
,,,2 ×220,3,,7.5,80,-,5,7,1915,11,,315
,-,,220,4,-,14.5,110,-,7,10,1915,12,,316
,-,,110,2,-,2,60,-,1,1,1919,4,,317
,-,,220,2,-,6,=,30,3,6,1918,12,,318
