1,2,,4,5,6,7,8,9,10,11
.37,Folkärna-Grytnäs E. D .- F.,Grytnäs,Ab. fr. nr 136,,1 098,,-,,,
,Skogsbo-Högbo-Rutbo E. D .- F.,,> > 136,,u 50,,,,,
139,Sör-Näfde El. Distr .- För. .... ..,,» Sthlms Super- fosfataktiebolag,,u 100,,,,-,-
140,Baggbo Bel .- För.,,Ab. fr. Horndals J .- A .- B.,1919,-,169,-,-,-,-
141,Bengtsbo El. Distr .- För.,,,1919,48.6,,,-,,
,Germansbo Bel .- För.,,,1918,183,,,,,
143,Grytnäs-Västra E. D .- F.,,=,-,,u 200,,,,
4,Ingvallsbo Bel .- För.,,,1918,,73.5,,,,
,Kårbo Bel .- För,,,1919,250,-,,,,
146,Stockholms Superfosfat A .- B.,»,Avesta Storfors,1900,-,-,v,8.6-8 9,4 000,-
147,Avesta Järnverks A .- B.,Avesta,2,1918,-,-,få v,- 5-7,"220
3 300",1
148,,,Lillfors,-,-,-,V,- -,,1 -
149 150,Norbergs El. A .- B. Avesta Sulfat o. Trävaru A .- B.,,Ab. fr. Älvkarleby Kraftverk Avesta,1914 - -,,-,- 1,2.9 -- 3.5 - 3.2-4'4 -,1 895 - 468 850,- -
151,Mindre distr .- företag,,Nybyn,,,-,V,,-,
152,Brovallens El. Distr .- För.,Folkärna,Ab. fr. Älvkarleby Kraftverk,,,2 000,,-,,150
153,Åsgarns El. And .- För,,Ab. fr. nr 132,-,,u 75,,-,-,
154,Angsholms Bel .- För.,,Ab. fr. Horndals J .- A .- B.,1919,,42,,,,
155,Fellbo-Folkärna Bel .- För.,,,2,-,325,-,-,--,-
156 157,Jugansbo Bel .- För. Horndals Järnv. A .- B.,Folkärna o. By By,Näs,1919 1898,-,453 -,- V,- 3'9-6-8,- 6 800,-
158,,,Årängsån,1919,,-,,"11
14",c:a 165,
159,Näckenbäcks Bel .- För.,,Ab. fr. Horndals J .-,-,140,,-,-,-,
160,Rosso o. Fullsta E. D .- F.,2,A .- B,1920,-,275,-,-,-,-
6,"Norra, Nedre o. Östra Öster- vikens Kraft- o. Bel .- For.",,,1919,-,730,,,,-
162,Leknäs Kraft- o. Bel. För.,,,-,u,100,,,,
163,Nylandsets Bel .- För.,,,1920,,150,,,,
164,Lövedsgruvans Bel .- Anl.,,»,,,279,,,,
165,Div. distr .- företag,,,,,-,,,,
166,Mindre distr .- företag,,Tyskbohyttan,,,-,V,,,
167,,,Ingeborgsbo,,,,,,,
168 b,,,Rossberga,,,,,,,
169,,,Hede,,,,,,,
17,,,Länsmanssågen,-,,-,»,,,
171,,,Vatebo,,,-,,,,
172,By Kyrkby Kraft o. Bel. A .- B.,,,1912,,600,-,,,
173,Grönsinka Elektr .- verk ... . ...,,Grönsinka,,u,100,v,,,
174,Djura El. A .- B.,Leksand,Ab.fr. St. Kop. B. A .- B.,,-,851,,,,
